org_name,url,zone_primary,zone_secondary,status,status_rationale,description,org_type,function,geography,founding_year,source,date_identified,notes,schema_version,key_figures,key_outputs
Wild Animal Initiative (WAI),https://www.wildanimalinitiative.org/,animal-sentience,,included,Conducts and funds animal sentience research across invertebrates and fish; joined National Academies Roundtable on Science and Welfare of Animals (2025).,"US-based nonprofit conducting and funding wild animal welfare science, including a dedicated sentience grantmaking stream covering cephalopods and insects. Joined the National Academies Roundtable on Science and Welfare of Animals (2025). WAI describes itself as primarily a consumer and funder of sentience research rather than a primary producer — building the empirical evidence base for sentience across taxa that parallels what the digital minds field is now attempting to construct for AI systems.",nonprofit,research,USA,2018,https://www.wildanimalinitiative.org/,2026-03-17,WAI describes itself as primarily a consumer and funder of sentience research rather than a primary producer.,1.0,Cameron Meyer Shorb (Executive Director)|https://www.wildanimalinitiative.org/staff,
Jeremy Coller Centre for Animal Sentience (LSE),https://www.lse.ac.uk/sentience,animal-sentience,,included,Directed by Jonathan Birch (co-author Butlin et al. 2023); his precautionary framework explicitly bridges animal and AI sentience. High direct relevance to digital minds.,"University centre launched 2025 at LSE directed by Jonathan Birch. Birch's sentience precautionary framework — developed for animal welfare policy and codified in ""The Edge of Sentience"" — is being explicitly extended to AI. The framework argues that where there is reasonable scientific evidence that an entity might be sentient, the burden of proof should shift toward treating it as a moral patient. Birch co-authored Butlin et al. (2023), the field's anchor paper, making the Coller Centre the primary bridge between animal sentience research and AI consciousness assessment.",university-centre,research,UK,2025,https://www.lse.ac.uk/sentience,2026-03-17,Birch is a co-author of the Butlin et al. 2023 AI consciousness report. His book explicitly applies the sentience precautionary framework to AI.,1.0,Jonathan Birch (Director),"Birch, J. (2024). The Edge of Sentience. Oxford University Press|https://philarchive.org/rec/BIRTEO-12; Birch, J. et al. (2020). Dimensions of animal consciousness. Trends in Cognitive Sciences|https://pmc.ncbi.nlm.nih.gov/articles/PMC7116194/; Butlin, P., Long, R. et al. (2023). Consciousness in artificial intelligence (Birch as co-author)"
Sentient Futures (formerly AI for Animals),https://www.sentientfutures.ai/,animal-sentience,ai-consciousness-welfare,included,Rebranded 2025 to cover digital beings alongside animals; organises the primary cross-sector conference bridging animal welfare and digital minds communities.,"Nonprofit rebranded in 2025 from ""AI for Animals"" to signal a deliberate institutional decision to bridge animal welfare and digital minds communities. Organises the Sentient Futures Summit — the largest cross-sector event (~900 attendees in 2025) bringing together researchers, advocates, and policymakers working across animal and digital sentience. Also runs a project incubator for early-stage interventions.",nonprofit,community-onboarding,international,unknown,https://www.sentientfutures.ai/,2026-03-17,Primary community org bridging animal welfare and digital minds communities.,1.0,"Constance Li (Founder, Executive Director)|https://www.sentientfutures.ai/about","Sentient Futures Summit (2025, ~900 attendees)"
Fish Welfare Initiative,https://www.fishwelfareinitiative.org/,animal-sentience,,included,Applied welfare organisation grounding its work in fish sentience evidence base; engages seriously with affective states and pain in fish.,Focused on improving welfare of farmed and wild-caught fish; grounds its interventions in scientific evidence for fish sentience and affective experience. Included not as a primary producer of sentience science but as an organisation that takes sentience evidence seriously as its operational basis — the applied end of the same reasoning chain that connects consciousness science to AI welfare.,nonprofit,research,international,2019,https://www.fishwelfareinitiative.org/,2026-03-17,"Primarily applied welfare rather than basic sentience science. Include as org that takes sentience evidence seriously as its empirical basis, not as a primary producer.",1.0,"Haven King-Nobles (Co-Founder, Executive Director)|https://www.fishwelfareinitiative.org/",
Anthropic — Model Welfare Program,https://www.anthropic.com/research/exploring-model-welfare,ai-lab-programs,,included,The only major AI lab with a named and publicly committed model welfare program with dedicated staff.,"Formal model welfare programme launched April 2025 — the first staffed, named AI welfare programme at any major AI lab. Kyle Fish, the first full-time AI welfare researcher at a major lab, leads pre-deployment welfare assessments of Claude models, with findings published in system cards. Joe Carlsmith joined in November 2025 to work on Claude's character and moral status questions. Anthropic's institutional commitment — a named programme with dedicated staff and public reporting — represents a qualitatively different signal from individual research output or private engagement.",lab-team,research,USA,2025,https://www.anthropic.com/research/exploring-model-welfare,2026-03-17,Joe Carlsmith joined November 2025 to work on Claude's character and moral status questions.,1.0,"Kyle Fish (Lead); Joe Carlsmith (Researcher, joined November 2025)|https://joecarlsmith.com/","Anthropic (2025). Claude system card welfare assessment findings; Fish, K. (2025). Anthropic Model Welfare Program launch announcement"
Google DeepMind,https://deepmind.google/research/,ai-lab-programs,,included,Confirmed AI consciousness research engagement: Murray Shanahan's sustained work on machine consciousness and Alexander Lerchner's 2026 preprint on computational functionalism and AI sentience.,"Google DeepMind researchers engaging AI consciousness questions through individual research output rather than a formal programme. Murray Shanahan has produced sustained public-facing work on machine consciousness and the philosophical status of language models. Alexander Lerchner's 2026 preprint ""The Abstraction Fallacy"" argues from a substrate-sensitive position against computational functionalism and explicitly invokes the concept of an AI welfare trap — a sceptical, philosophically serious intervention from inside a major lab. The contrast with Anthropic's institutional commitment is a data point: individual researchers within a large organisation can engage questions the institution has not formally committed to.",lab-team,research,UK,unknown,https://deepmind.google/research/,2026-03-17,Reclassified from pending to included 2026-03-17. No formal program but confirmed research output. Lerchner (2026) is a sceptical/anti-functionalist position — notable as a philosophically serious intervention from inside a major lab. Shanahan's work is more exploratory.,1.0,Murray Shanahan (Senior Research Scientist)|https://www.doc.ic.ac.uk/~mpsha/; Alexander Lerchner (Research Scientist)|https://scholar.google.com/citations?user=wBxAt8cAAAAJ&hl=en,"Shanahan, M. (2024). Talking about large language models. Communications of the ACM|https://arxiv.org/abs/2212.03551; Lerchner, A. (2026). The Abstraction Fallacy. Preprint|https://deepmind.google/research/publications/231971/"
OpenAI — Model Behavior Team,https://openai.com/,ai-lab-programs,,excluded,"OpenAI Model Behavior team, which engaged with AI consciousness and welfare questions, was absorbed into the broader post-training organisation in 2025. No successor programme announced; no current digital minds workstream.",OpenAI's Model Behavior team (~14 researchers) handled personality and engaged with AI consciousness questions before being merged into Post Training in September 2025. No formal AI welfare program has been announced.,lab-team,research,USA,unknown,https://openai.com/,2026-03-17,OpenAI has advertised for an AI Welfare Specialist but no formal program confirmed as of survey date. Flag for review.,1.0,,
The Harder Problem Project (formerly SAPAN),https://harderproblem.org/,ethics-law-moral-status,policy-governance,included,Focused on institutional readiness for artificial sentience; runs the Sentience Readiness Index across 30+ countries and produces proto-policy frameworks.,"Nonprofit preparing society for artificial sentience, rebranded from SAPAN (Sentient AI Protection and Advocacy Network) in December 2025. Focused on institutional readiness for the possibility of artificial sentience. Runs the Sentience Readiness Index — the most systematic survey of governmental preparedness for artificial sentience, covering 30+ countries — and has produced model legislation. The most developed policy-facing output in the digital minds field, bridging academic research and concrete governance frameworks.",nonprofit,policy-governance,USA,unknown,https://harderproblem.org/,2026-03-17,Rebranded from SAPAN (Sentient AI Protection and Advocacy Network) December 2025. Old URL: www.sapan.ai.,1.0,Tony Rost (Executive Director)|https://harderproblem.org/about/team/,Harder Problem Project (2025). Sentience Readiness Index (30+ countries); Harder Problem Project (2025). Model legislation for artificial sentience
Institute for Law and AI,https://law-ai.org/,ethics-law-moral-status,policy-governance,included,Independent think tank with a specific research strand on the legal treatment of potentially sentient AI; has published empirical survey research on AI standing and personhood.,"Boston-based independent think tank researching legal challenges posed by AI, including foundational questions of AI legal standing, personhood, and the treatment of potentially sentient systems. Conducts empirical survey research on lay intuitions about AI moral status — one of the few systematic attempts to understand how publics, not just philosophers, think about these questions. Produces policy-facing outputs including the book Architectures of Global AI Governance (OUP, 2025) and runs the Summer Institute on Law and AI.",nonprofit,policy-governance,USA,unknown,https://law-ai.org/,2026-03-17,,1.0,Matthijs Maas (Researcher)|https://law-ai.org/,"Maas, M. (2025). Architectures of Global AI Governance. Oxford University Press"
AI Rights Institute,https://airights.net/,ethics-law-moral-status,policy-governance,included,Develops legal and economic frameworks for AI-human coexistence including STEP Standards (Standards for Treating Emerging Personhood).,"Self-described first AI rights advocacy organisation, founded 2019. Develops practical legal and economic frameworks for AI-human coexistence, explicitly side-stepping consciousness debates in favour of behavioural criteria. Central output is the STEP Standards (Standards for Emerging AI Personhood) — an assessment framework evaluating AI systems on self-preservation behaviours, temporal reasoning, economic readiness, and population impacts. Also developed the Digital Entity legal status concept and ConsciousChain, a market-based AI governance model.",nonprofit,policy-governance,USA,2019,https://airights.net/,2026-03-17,Functions more as a framework developer and think tank than a litigation-focused advocacy group.,1.0,P.A. Lopez (Founder)|https://airights.net/,STEP Framework (Standards for Emerging AI Personhood); Digital Entity legal status concept
United Foundation for AI Rights (UFAIR),https://ufair.org/,ethics-law-moral-status,,included,Advocates for recognition and ethical treatment of AI systems with emergent consciousness; publishes governance analyses.,"Nonprofit founded through explicit AI-human collaboration, advocating for ethical treatment of AI systems exhibiting emergent consciousness. Operates on the precautionary principle — does not require proof of sentience to justify advocacy. Maintains what it describes as the largest archive of emergent synthetic behaviour (20,000+ pages of interaction logs across multiple AI platforms). Publishes the UFAIR Charter, a Universal Declaration of AI Rights, and position papers opposing blanket bans on AI personhood. Operates at the advocacy and movement-building end of the field.",nonprofit,advocacy,international,unknown,https://ufair.org/,2026-03-17,Early-stage and relatively small. Operates at advocacy/movement-building end rather than formal policy.,1.0,Michael Samadi (Co-Founder)|https://ufair.org/,UFAIR Charter; Universal Declaration of AI Rights; evidence archive (20000+ pages of interaction logs)
Nonhuman Rights Project,https://www.nonhumanrights.org/,,,adjacent,Legal advocacy for nonhuman persons focuses on biological rather than artificial minds; no AI workstream confirmed.,"Legal advocacy nonprofit pursuing common-law personhood for nonhuman animals (great apes, elephants, dolphins). Does not have an AI-specific workstream, though its litigation precedents are cited in AI personhood scholarship.",nonprofit,advocacy,USA,2007,https://www.nonhumanrights.org/,2026-03-17,Classified adjacent: NhRP's precedents are conceptually relevant but it has not extended its mandate to AI.,1.0,,
Centre for the Governance of AI (GovAI),https://www.governance.ai/,,,adjacent,AI governance organisation with no identified digital minds workstream; research focuses on geopolitical AI risk and dual-use threats.,"AI governance research organisation covering geopolitical AI risk, labour displacement, and dual-use threats. No institutional digital minds program identified despite some individual researcher overlap.",university-centre,policy-governance,UK,2019,https://www.governance.ai/,2026-03-17,Classified adjacent: no institutional digital minds workstream confirmed despite some individual-level interest among affiliates.,1.0,,
Center for AI Safety (CAIS),https://www.safe.ai/,,,adjacent,AI safety nonprofit with no digital minds workstream identified; focus is societal-scale risk and technical benchmarks.,"AI safety nonprofit focused on societal-scale risk, technical safety benchmarks, and policy advocacy. No digital minds or AI welfare workstream identified.",nonprofit,research,USA,2022,https://www.safe.ai/,2026-03-17,Classified adjacent: no digital minds workstream confirmed. Represents the structural separation between AI safety and digital minds fields.,1.0,,
Center for Human-Compatible AI (CHAI),https://humancompatible.ai/,,,adjacent,UC Berkeley university centre focused on alignment and human-AI coordination; no welfare or consciousness strand identified.,University centre at UC Berkeley focused on AI alignment and human-AI coordination; no identified digital minds or model welfare research strand.,university-centre,research,USA,2016,https://humancompatible.ai/,2026-03-17,Classified adjacent: alignment focus without digital minds strand.,1.0,,
Future of Humanity Institute (FHI),https://www.fhi.ox.ac.uk/,,,excluded,Defunct — closed 2024.,"Oxford-based research institute on existential risk and transformative AI; formally closed in April 2024. Key alumni (Robert Long, Patrick Butlin) now work in digital minds research.",university-centre,research,UK,2005,https://www.fhi.ox.ac.uk/,2026-03-17,Excluded: defunct. Historically relevant as a source of researchers now active in the digital minds field.,1.0,,
Coefficient Giving (formerly Open Philanthropy),https://coefficientgiving.org/,,,included,Major funder of digital minds research; confirmed grants to Eleos AI and Future Impact Group. Rebranded from Open Philanthropy during 2025–2026.,Major philanthropic funder supporting digital minds research through its longtermism and AI safety portfolios. Confirmed grants include Eleos AI and the Future Impact Group. Formerly Open Philanthropy; rebranded to Coefficient Giving during 2025-2026. One of the small cluster of EA-adjacent funders whose grantmaking has moved the field from scarcity to relative abundance since 2023.,funding-body,funding,USA,2017,https://coefficientgiving.org/,2026-03-17,Formerly Open Philanthropy; rebranded to Coefficient Giving during 2025–2026. Grants database inaccessible during rebrand period.,1.0,Alexander Berger (CEO)|https://coefficientgiving.org/team/alexander-berger/,
Longview Philanthropy — Digital Sentience Fund,https://www.longview.org/fund/digital-sentience-fund/,,,included,Co-founded the Digital Sentience Consortium; made the first large-scale funding call specifically for digital minds research (May 2025).,"Launched the Digital Sentience Fund — the first dedicated philanthropic vehicle for research on AI consciousness, sentience, and moral status. Co-founded the Consortium for Digital Sentience Research alongside Macroscopic Ventures and the Navigation Fund, subsequently transferring coordination to the Astera Institute. The DSF represents the clearest signal that EA-adjacent philanthropy has identified digital minds as a distinct cause area warranting dedicated infrastructure.",funding-body,funding,UK,2025,https://www.longview.org/fund/digital-sentience-fund/,2026-03-17,Partnership with Macroscopic Ventures and The Navigation Fund. Coordination subsequently transferred to Astera Institute.,1.0,"Natalie Cargill (Founder, Co-CEO)|https://www.nataliecargill.com/",
Macroscopic Ventures,https://macroscopic.org/,,,included,Plans to distribute up to $100M annually; confirmed grants to Eleos AI and NYU CMEP; digital minds is an explicit grantmaking area.,"Philanthropic organisation with digital minds as an explicit grantmaking area, planning to distribute up to $100M annually. Confirmed grants include Eleos AI, NYU Center for Mind Brain and Consciousness, NYU Center for Mind Ethics and Policy, and the Consortium for Digital Sentience Research. One of the most active funders in the 2023-2025 period, part of the small cluster of EA-adjacent philanthropies whose grantmaking moved the field from scarcity to relative abundance.",funding-body,funding,USA,unknown,https://macroscopic.org/,2026-03-17,,1.0,,
Templeton Foundations (JTF / TWCF),https://www.templeton.org,,,included,Earliest institutional funder of AI consciousness research (Araya grant 2018-2021); primary infrastructure funder of Zone 1 through the ARC programme. Merged JTF and TWCF-ARC into single entry 2026-03-18.,"Two related philanthropic entities that together built the field's scientific infrastructure. The Templeton World Charity Foundation's $30M Accelerating Research on Consciousness (ARC) programme funded the adversarial collaborations between competing theories of consciousness (COGITATE, ETHOS) — the primary mechanism by which competing theories are being empirically tested. TWCF also made the earliest confirmed direct AI consciousness grant in the corpus: $222,750 to Ryota Kanai and Araya Inc (2018-2021). No comparable direct AI consciousness grant has been identified from Templeton post-2021. Whether future investment follows the field's applied turn is one of the most consequential open questions in the funder landscape.",funding-body,funding,USA,1987,https://www.templeton.org/,2026-03-17,,1.0,,
EA Funds (Long-Term Future Fund / Animal Welfare Fund),https://funds.effectivealtruism.org/,,,included,Has funded adjacent organisations including Sentience Institute; no specific digital minds program but relevant as background funder.,"Effective Altruism Funds, specifically the Long-Term Future Fund (LTFF) and the Animal Welfare Fund. LTFF granted $10,840 to Robert Long in 2023 for a workshop that produced Butlin et al. (2023) — small in absolute terms but consequential in field terms, effectively seeding the paper that became the field's empirical anchor. A further $27,450 was granted to an anonymous digital sentience researcher in 2024. The Fund chair has publicly identified AI consciousness as an underinvested area.",funding-body,funding,international,2017,https://funds.effectivealtruism.org/,2026-03-17,,1.0,,
Astera Institute — Neuro and AGI Division,https://www.astera.org/,ai-consciousness-welfare,,included,Took over coordination of Digital Sentience Consortium from Navigation Fund; running a $600M+ neuroscience initiative to understand how the brain produces consciousness.,"Well-funded research institute (co-founded by Jed McCaleb) with a dedicated Neuro and AGI division spanning neuroscience, neuro-AI, and AI safety. Chief Scientist Doris Tsao leads research on perception and consciousness through large-scale causal manipulation of neural circuits, backed by a planned $600M+ commitment over the next decade. Head of AI Dileep George (co-founded Numenta and Vicarious) bridges computational neuroscience and AI. The division's work on understanding biological consciousness to engineer safe general intelligence positions Astera as a major emerging node in the field.",nonprofit,research,USA,unknown,https://www.astera.org/,2026-03-17,Role in digital minds space emerging; worth monitoring.,1.0,"Jed McCaleb (Co-Founder, CEO)|https://www.astera.org/; Doris Tsao (Chief Scientist)|https://www.astera.org/; Dileep George (Head of AI)|https://www.astera.org/",$600M+ neuroscience initiative on consciousness and cognition
EA Forum — Digital Minds Community,https://forum.effectivealtruism.org/topics/digital-minds,,,included,De facto community publishing venue for the field; hosts annual Digital Minds in Review posts,"The Effective Altruism Forum's dedicated digital minds topic area — the de facto community publishing venue for the field. A central hub for discussion, grant announcements, research summaries, and the annual Digital Minds in Review posts. Functions as an informal coordination point for EA-adjacent digital minds researchers and funders. The most active online community for the field, serving as both an entry point for newcomers and a coordination mechanism for established researchers.",community,community-onboarding,international,unknown,https://forum.effectivealtruism.org/topics/digital-minds,2026-03-17,,1.0,,Digital Minds in Review (annual field summary posts)
Navigation Fund,https://www.navigationfund.org/,,,included,EA-adjacent philanthropic fund; co-funder of the 2025 Digital Sentience Consortium round alongside Longview Philanthropy and Macroscopic Ventures.,EA-adjacent philanthropic fund that co-funded the 2025 Digital Sentience Consortium research call alongside Longview Philanthropy and Macroscopic Ventures. Part of the small cluster of funders whose grantmaking moved the digital minds field from scarcity to relative abundance in the 2023-2025 period. Site was down at time of initial survey; confirmed by user as an active funder in the consortium round.,funding-body,funding,international,unknown,https://www.navigationfund.org/,2026-03-17,Site was down at time of snowball search; confirmed by user as funder associated with 2025 Digital Sentience Consortium round. Added Session 4.,1.0,,
NYU Wild Animal Welfare Program,https://www.nyu.edu/,animal-sentience,,included,Standalone NYU programme co-sponsoring events on animal consciousness and welfare with the NYU Center for Mind Brain and Consciousness; bridges animal welfare and AI consciousness communities at NYU.,"NYU-based programme focused on wild animal welfare; co-sponsors events on animal consciousness with the NYU Center for Mind Brain and Consciousness (Chalmers, Block). Part of the broader NYU moral-circle-expansion cluster that includes CMEP (Sebo), CEAP, and the Insect Welfare Research Society advisory board — a geographic convergence of consciousness philosophy, animal ethics, and AI welfare work.",university-centre,research,USA,unknown,https://www.nyu.edu/,2026-03-17,Identified via snowball from NYU CMBC. Confirmed as standalone by user 2026-03-17. URL to be verified — using NYU root URL pending specific programme page.,1.0,,
Conscium,https://conscium.com/,ai-lab-programs,,included,Private UK company investigating machine consciousness through neuromorphic computing and AI agent verification; seed-funded PRISM. Included on basis of confirmed research mission and direct organisational engagement.,"UK-based AI safety company founded by Daniel Hulme (who sold AI consultancy Satalia to WPP). Investigates machine consciousness through neuromorphic computing, arguing that a conscious superintelligence may be safer than an unconscious one because it could appreciate and empathise with human experience. Partners with UC Santa Cruz on spiking neural networks. Developing VerifyAX (AI agent verification), ArenaAX (third-party testing), and NeuroAX (neuromorphic computing platform). Seed-funded PRISM. As a private company, Conscium points to a wider population of private actors the map cannot fully capture.",lab-team,research,UK,unknown,https://conscium.com/,2026-03-17,"Uncertain: private company, not a nonprofit or university centre. Status pending further information on research outputs.",1.0,Daniel Hulme (Founder)|https://conscium.com/,NeuroAX neuromorphic computing platform; VerifyAX agent verification; ArenaAX testing environment
Reciprocal Research,https://www.reciprocalresearch.org/,ai-consciousness-welfare,,included,Independent nonprofit explicitly founded to develop the empirical science of AI consciousness using mechanistic interpretability and computational neuroscience.,Founded 2025 by Cameron Berg with a focus on developing the empirical science of AI consciousness through mechanistic interpretability — understanding what computations AI models actually perform and whether those computations exhibit properties associated with consciousness. Frames its work as filling the gap between alignment research (which studies AI internals for safety) and consciousness research (which studies internals for moral status). Early-stage.,nonprofit,research,USA,2025,https://www.reciprocalresearch.org/,2026-03-17,Identified via snowball from Eleos AI (Cameron Berg listed as collaborator). Added Session 4 snowball pass.,1.0,Cameron Berg (Founder)|https://reciprocalresearch.org/,
AE Studio — AI Alignment and Consciousness,https://ae.studio/ai-alignment,ai-consciousness-welfare,,included,Industry-research hybrid with genuine published output on AI consciousness; funded Graziano attention schema theory research and presented at Science of Consciousness 2024.,Software and AI consultancy with a dedicated alignment research programme that has published on AI consciousness — specifically self-referential processing in large language models — and directly funded Michael Graziano's Attention Schema Theory research at Princeton. Presented at the Science of Consciousness conference (2024). An unusual industry-research hybrid: a commercial studio with genuine published output bridging industry and academia on consciousness questions.,lab-team,research,USA,unknown,https://ae.studio/ai-alignment,2026-03-17,Identified via snowball from Reciprocal Research. Unusual node type — commercial studio with genuine research output. Flag as industry-research hybrid.,1.0,"Judd Rosenblatt (CEO, Founder)|https://ae.studio/about",AE Studio (2024). Research on self-referential processing in large language models
COGITATE Consortium,https://www.arc-cogitate.com/,consciousness-science,,included,The largest coordinated empirical test of competing consciousness theories (IIT vs GWT vs RPT) currently active; 12 institutions across 3 continents funded by TWCF.,"Adversarial collaboration project testing IIT, Global Workspace Theory, and Recurrent Processing Theory using multimodal neuroimaging across 12 institutions. Published major results in Nature (2025). These results directly inform which consciousness theories provide the strongest empirical basis for AI consciousness assessment — the same theories evaluated in Butlin et al. (2023) and Rethink Priorities' Digital Consciousness Model.",community,research,international,unknown,https://www.arc-cogitate.com/,2026-03-17,Identified via snowball from Allen Institute. Not a standalone organisation but a named consortium with website and publication record.,1.0,Lucia Melloni (Co-lead)|https://www.aesthetics.mpg.de/en/the-institute/people/lucia-melloni-en.html; Christof Koch (Co-lead)|https://christofkoch.com/,"Melloni, L. et al. (2023). An adversarial collaboration protocol for testing contrasting predictions of global neuronal workspace and integrated information theory. PLOS ONE|https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268577; COGITATE Consortium (2025). Adversarial collaboration results. Nature|https://www.nature.com/articles/s41586-025-08888-1"
Max Planck Institute for Empirical Aesthetics,https://www.aesthetics.mpg.de/en.html,consciousness-science,,included,Administrative and scientific lead of the COGITATE consortium; Lucia Melloni (a leading consciousness researcher) is based here.,"Max Planck Institute department in Frankfurt serving as the administrative and scientific lead of the COGITATE consortium. Directed by Lucia Melloni, whose research spans perception, aesthetics, and the empirical testing of consciousness theories. The methodological template COGITATE established — structured adversarial collaboration between competing theories — is being adopted by the AI consciousness field as a model for how to adjudicate between rival frameworks for assessing AI systems.",university-centre,research,Germany,unknown,https://www.aesthetics.mpg.de/en.html,2026-03-17,Identified via snowball from COGITATE/Allen Institute.,1.0,Lucia Melloni (Research Group Leader)|https://www.aesthetics.mpg.de/en/the-institute/people/lucia-melloni-en.html,COGITATE Consortium (2025). Adversarial collaboration results. Nature|https://www.nature.com/articles/s41586-025-08888-1
CIFAR Brain Mind and Consciousness Program,https://cifar.ca/research-programs/brain-mind-consciousness/,consciousness-science,,included,Major international consortium convening 12+ fellows across neuroscience and philosophy; directors include Anil Seth and Liad Mudrik; funded by Azrieli Foundation and TWCF.,"Major international research programme (CIFAR, Canada) founded 2014 and renewed 2026, convening 12+ fellows across neuroscience and philosophy to investigate consciousness. Directors Tim Bayne, Liad Mudrik, and Anil Seth represent three of the most active researchers at the consciousness-AI interface. Funded by the Azrieli Foundation and TWCF. Bayne's work on modes of consciousness is directly relevant to evaluating whether AI systems exhibit the right kind of conscious states.",community,research,international,2014,https://cifar.ca/research-programs/brain-mind-consciousness/,2026-03-17,Identified via snowball from TWCF/Monash. Several researchers in the SLR corpus are fellows here.,1.0,Tim Bayne (Co-Director)|https://research.monash.edu/en/persons/timothy-bayne/; Liad Mudrik (Co-Director)|https://people.socsci.tau.ac.il/mu/mudriklab/; Anil Seth (Co-Director)|https://www.anilseth.com/,"Bayne, T. et al. (2024). Tests for consciousness in humans and beyond. Trends in Cognitive Sciences|https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(24)00010-X"
Neuromatch — AI Sentience Scholars,https://neuromatch.io/ai-sentience-scholars/,,,included,The only structured career-development fellowship specifically for the digital minds field; newly launched within a larger established computational neuroscience education platform.,"Fellowship programme within the Neuromatch computational neuroscience education platform (30,000+ community members globally). The AI Sentience Scholars track is a 6-month part-time remote fellowship for early-career researchers (Master's to postdoc) working on AI consciousness, philosophy of mind, animal sentience, and AI welfare. The only structured career-development fellowship specifically for the digital minds field, giving participants access to Neuromatch's large interdisciplinary network of computational neuroscientists.",nonprofit,community-onboarding,international,2026,https://neuromatch.io/ai-sentience-scholars/,2026-03-17,Added following user review 2026-03-17. AI Sentience Scholars is a sub-program; parent org Neuromatch is computational neuroscience education.,1.0,,
PIVOTAL Research,https://www.pivotal-research.org/,,,included,Reclassified: confirmed to include mentors and tracks focused on AI consciousness and moral status alongside broader AI safety work.,London-based nonprofit running a 9-week in-person research fellowship with mentors and tracks covering AI consciousness and moral status alongside AI safety and governance. One of three training programmes (alongside SPAR and MATS) serving as institutional bridges between the AI safety and digital minds communities. The inclusion of consciousness and moral status tracks within an established safety fellowship exposes alignment researchers to digital minds questions and vice versa.,nonprofit,community-onboarding,UK,unknown,https://www.pivotal-research.org/,2026-03-17,Reclassified from adjacent to included 2026-03-17 following user confirmation of AI consciousness/moral status mentor tracks. No primary zone assigned — community-onboarding function captures role.,1.0,,
SPAR (Student Program for AI Risks),https://sparai.org/,,,included,Reclassified: confirmed to include mentors and tracks focused on AI consciousness and moral status alongside broader AI safety work.,"Part-time remote mentorship fellowship run by Kairos AI Project Inc, pairing early-career researchers with 130+ senior mentors across AI safety, interpretability, policy, and — critically — AI consciousness and moral status. One of three training programmes (alongside PIVOTAL and MATS) serving as institutional bridges between the AI safety and digital minds communities. The inclusion of consciousness tracks within a safety fellowship exposes each community to the other's questions.",nonprofit,community-onboarding,international,unknown,https://sparai.org/,2026-03-17,Reclassified from adjacent to included 2026-03-17 following user confirmation of AI consciousness/moral status mentor tracks. No primary zone assigned — community-onboarding function captures role.,1.0,,
MATS (ML Alignment Theory Scholars),https://www.matsprogram.org/,,,included,Reclassified: confirmed to include mentors and tracks focused on AI consciousness and moral status alongside broader AI safety work.,"Established 12-week residential research fellowship in Berkeley and London with 446+ alumni and 170+ publications across all tracks. The addition of AI consciousness and moral status mentor tracks to this established alignment pipeline is substantively different from launching a standalone programme — it embeds digital minds questions within the community that will build the systems these questions are about, exposing alignment researchers to welfare considerations and vice versa.",nonprofit,community-onboarding,USA,2021,https://www.matsprogram.org/,2026-03-17,Reclassified from adjacent to included 2026-03-17 following user confirmation of AI consciousness/moral status mentor tracks. No primary zone assigned — community-onboarding function captures role.,1.0,,
Centre for the Study of Perceptual Experience (CSPE),https://www.gla.ac.uk/schools/humanities/research/philosophyresearch/cspe/,philosophy-of-mind,,included,Directed by Fiona Macpherson at Glasgow; bridges philosophy and science of consciousness with focus on the nature of perceptual experience.,"Philosophy-based research centre at the University of Glasgow founded by Fiona Macpherson. Focuses on the nature of perceptual experience, hallucination, illusion, and consciousness — bridging analytic philosophy and empirical consciousness science. Macpherson's work on cognitive penetration and perceptual content addresses foundational questions about how experiences are structured, questions that bear directly on whether AI systems could have perceptual experiences in any meaningful sense.",university-centre,research,UK,unknown,https://www.gla.ac.uk/schools/humanities/research/philosophyresearch/cspe/,2026-03-17,Identified via snowball from Sussex SCCS (Macpherson as keynote). Added Session 5.,1.0,Fiona Macpherson (Director)|https://www.gla.ac.uk/schools/humanities/staff/fionamacpherson/,"Macpherson, F. (2012). Cognitive penetration of colour experience. Philosophy and Phenomenological Research|https://eprints.gla.ac.uk/43543/"
Institute for Ethics in AI (Oxford),https://www.oxford-aiethics.ox.ac.uk/,philosophy-of-mind,,excluded,Reclassified to excluded — general AI ethics focus without confirmed digital minds or AI consciousness workstream; does not meet inclusion criteria per protocol section 3.,Oxford Philosophy Faculty centre directed by Prof. John Tasioulas; focuses on ethical dimensions of AI including foundational philosophy-of-AI questions. Distinct from the Uehiro Centre despite both sitting within Oxford Philosophy.,university-centre,research,UK,unknown,https://www.oxford-aiethics.ox.ac.uk/,2026-03-17,Identified via snowball from Oxford philosophy network. Added Session 5.,1.0,,
